,0
190,"-118.531775,34.171933"
191,"-118.39503799999999,34.179369"
192,"-118.27338700000001,34.074767"
193,"-118.262248,34.032086"
194,"-118.259846,34.031294"
195,"-118.277831,34.076099"
196,"-118.369954,33.898261"
197,"-118.37435900000001,33.900675"
198,"-118.206833,33.822034"
199,"-118.073374,34.137840000000004"
200,"-118.280409,33.928497"
201,"-118.061311,33.902295"
202,"-118.29093200000001,34.234842"
203,"-118.172518,34.182716"
204,"-118.330101,34.259844"
205,"-118.167854,33.968167"
206,"-118.10481100000001,33.917097999999996"
207,"-118.17679,33.997642"
208,"-118.09828700000001,34.169132"
209,"-118.240798,33.960148"
210,"-118.13383700000001,33.877225"
211,"-118.16086899999999,34.631171"
212,"-118.17868,33.930913000000004"
213,"-117.98803500000001,34.019539"
214,"-117.715678,34.081901"
215,"-118.285854,33.892639"
216,"-118.22586899999999,34.028791999999996"
217,"-118.170526,33.949789"
218,"-118.24007900000001,34.154994"
219,"-118.121278,34.152467"
220,"-118.41933999999999,34.035971"
221,"-118.28071399999999,33.931"
222,"-118.352929,34.272303"
223,"-118.376287,34.274392"
224,"-118.244351,34.058341"
225,"-118.369019,33.922363"
226,"-118.202324,33.872533000000004"
227,"-118.17350400000001,33.876742"
228,"-118.604401,34.442516999999995"
229,"-118.36712800000001,33.901742999999996"
230,"-118.148905,34.150411"
231,"-118.17658200000001,34.018209000000006"
232,"-118.16899699999999,34.014864"
233,"-117.934386,34.129727"
234,"-117.95141699999999,34.132771000000005"
235,"-118.14758700000002,33.998737"
236,"-118.29989099999999,34.16695"
237,"-118.28745900000001,33.812571000000005"
238,"-118.23897099999999,33.924623"
239,"-118.35086299999999,33.940002"
240,"-118.279574,34.148102"
241,"-118.257903,34.146863"
242,"-118.09671100000001,33.941178"
243,"-118.358888,34.135219"
244,"-117.98671100000001,34.053889"
245,"-118.29222,33.7461"
246,"-117.69843999999999,34.121567999999996"
247,"-117.94186699999999,34.087016999999996"
248,"-117.827257,34.689826000000004"
249,"-118.655556,34.545"
250,"-118.687751,34.56975"
251,"-118.23165900000001,33.910216"
252,"-118.60476799999999,34.277817999999996"
253,"-118.279297,33.947435999999996"
254,"-118.00081200000001,34.135354"
255,"-118.046527,33.893539000000004"
256,"-118.043516,33.862611"
257,"-118.03166100000001,34.147736"
258,"-117.958228,34.070483"
259,"-118.284346,33.846168"
260,"-117.774025,34.690599"
261,"-118.28596599999999,33.842044"
262,"-118.46824,34.15067"
263,"-118.001377,34.059483"
264,"-118.181024,34.190014"
265,"-118.25207900000001,33.984315"
266,"-118.28523500000001,33.878943"
267,"-118.21000900000001,33.924731"
268,"-118.180194,33.912704"
269,"-118.469503,34.164015"
270,"-118.158573,34.008842"
271,"-118.182736,34.194327"
272,"-118.037596,34.027158"
273,"-118.063689,34.004353"
274,"-117.87700000000001,33.938544"
275,"-118.072778,33.884034"
276,"-118.218515,34.029961"
277,"-118.37748500000001,34.037028"
278,"-118.47908999999999,34.322864"
279,"-118.304446,34.170253"
280,"-118.33440700000001,34.110517"
281,"-118.47001399999999,34.161392"
282,"-118.443615,34.043572"
283,"-118.052654,34.017866999999995"
284,"-118.236403,34.660559"
285,"-118.10026599999999,33.93438"
286,"-118.26132700000001,34.069825"
287,"-118.27937,33.989159"
288,"-117.872482,33.986215"
289,"-118.126824,34.152087"
290,"-118.150577,34.152144"
291,"-118.13225800000001,34.151665"
292,"-118.47539599999999,34.126388"
293,"-118.19216599999999,34.607728"
294,"-118.280699,34.150413"
295,"-118.21926299999998,34.073815"
296,"-118.37032099999999,33.916464000000005"
297,"-117.96803600000001,33.996007"
298,"-118.20596699999999,34.094752"
299,"-118.37754299999999,34.0368"
300,"-117.86545,34.118572"
301,"-117.97797800000001,34.114906"
302,"-117.890151,34.120946999999994"
303,"-117.590621,34.513461"
304,"-117.92575500000001,34.031064"
305,"-118.55581000000001,34.463071"
306,"-118.42835600000001,34.024858"
307,"-118.39984799999999,34.28097"
308,"-117.818817,34.119964"
309,"-118.47340600000001,34.201108000000005"
310,"-118.254601,34.057553000000006"
311,"-117.818175,34.063559999999995"
312,"-118.473097,34.221364"
313,"-118.473302,34.221381"
314,"-118.044175,33.932642"
315,"-117.81195100000001,34.063839"
316,"-118.284821,33.849795"
317,"-118.176933,34.045912"
318,"-118.284966,33.846169"
319,"-118.19630500000001,33.822103000000006"
320,"-118.28164699999999,33.928927"
321,"-118.29918700000002,33.831552"
322,"-118.150994,34.068283"
323,"-118.177683,34.058503"
324,"-118.600059,34.084539"
325,"-118.598666,34.124074"
326,"-118.595299,34.121777"
327,"-117.977632,34.114946999999994"
328,"-118.308532,34.175104"
329,"-118.281251,34.011075"
330,"-117.92896299999998,34.130884"
331,"-118.282669,33.991461"
332,"-118.28746699999999,33.824489"
333,"-117.784012,34.072742"
334,"-118.37773100000001,34.154467"
335,"-118.252058,33.974758"
336,"-117.75941,34.071090000000005"
337,"-118.225994,34.147094"
338,"-118.387505,33.931304"
339,"-118.38278600000001,34.164903"
340,"-118.186632,34.107331"
341,"-118.081584,33.810373999999996"
